fecha_mes,presupuesto_venta_ars,real,cumpl_%
2022-01-01,514175.66000000003,462032.89,89.85895792889146
2022-02-01,23928041.04,21523152.19,89.9494954644227
2022-03-01,35092476.17,31660031.24,90.21885798718773
2022-04-01,63189867.46,56805165.25,89.89600316215001
2022-05-01,109176031.88,97968497.64,89.7344370856795
2022-06-01,149121481.66,137236530.98,92.030021062225
2022-07-01,188735243.13,172654756.46,91.47987074204057
2022-08-01,213500987.81,195025750.73,91.34653320834207
2022-09-01,226014058.88,206541354.81,91.3842952219451
2022-10-01,294300824.73,266756830.73,90.64087094378017
2022-11-01,328445965.6,293401735.26,89.33029051643798
2022-12-01,368188211.23,332340177.8,90.26366615317663
2023-01-01,382489163.75,348264965.93,91.05224381144315
2023-02-01,434702335.28,395509251.76,90.98392616300187
2023-03-01,475795237.8,433522266.98,91.11530182280441
2023-04-01,502126642.45,454160256.7,90.44735297932806
2023-05-01,529881994.05,480870864.43,90.75055763918347
2023-06-01,570211224.37,518542469.79,90.93866406486713
2023-07-01,609242710.61,553972397.21,90.92803041588122
2023-08-01,613818153.88,562893384.81,91.70360655707232
2023-09-01,669745559.58,606681952.04,90.58394540464776
2023-10-01,679404322.64,618325810.98,91.00999071912528
2023-11-01,715431858.98,649220203.0,90.74521840914397
2023-12-01,764395078.03,701045583.85,91.71246702120789
2024-01-01,799851475.26,726048717.08,90.77294216954347
2024-02-01,789771889.7,723279021.64,91.58075022330084
2024-03-01,821333029.23,754344186.87,91.84388792658173
2024-04-01,865106859.43,790419318.68,91.36666876052631
2024-05-01,905266497.0600001,829724000.09,91.65522006885966
2024-06-01,957496184.08,879317816.46,91.83512488928434
2024-07-01,987230314.22,901111641.32,91.27673941333119
2024-08-01,1051975441.6,953685277.36,90.65661037766188
2024-09-01,1080642748.47,986666701.68,91.30368968624889
2024-10-01,1103242823.97,1017200346.72,92.20094838773774
2024-11-01,1135777891.31,1044708847.0,91.98179106964642
2024-12-01,1164188647.49,1062603962.25,91.27420753852759
2025-01-01,1206226046.83,1102914718.97,91.43516025611407
2025-02-01,1211443889.11,1110729000.61,91.68637611652065
2025-03-01,1215553107.78,1119743779.85,92.11804672977395
2025-04-01,1265778690.47,1149929435.33,90.84759002405201
2025-05-01,1258461333.25,1149036134.7,91.30484221812304
2025-06-01,1270059706.03,1166463715.87,91.84321889213977
2025-07-01,1299766971.79,1195770344.69,91.99882522351072
2025-08-01,1285056533.92,1179252183.53,91.7665606456045
2025-09-01,1261245839.16,1159009279.03,91.89400218770271
2025-10-01,1239145346.7,1141830578.43,92.14662198190379
2025-11-01,1232883817.75,1132358474.89,91.84632473776341
2025-12-01,1232779213.71,1126890395.04,91.41056099158811
2026-01-01,975206783.69,0.0,0.0
2026-02-01,991843374.34,0.0,0.0
2026-03-01,1029382904.78,0.0,0.0
2026-04-01,1087511042.71,0.0,0.0
2026-05-01,1110310663.4,0.0,0.0
2026-06-01,1148069643.64,0.0,0.0
2026-07-01,1215973798.33,0.0,0.0
2026-08-01,1203386028.27,0.0,0.0
